Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
01550-10253,BOLT PWR STRG PUMP,,5.71,,,4.60,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-10353,BOLT,,43.85,,,35.30,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1040C,BOLT,,76,,,61.19,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-10453,BOLT,,57.58,,,46.36,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1045B,BOLT,,86,,,69.24,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-10503,BOLT,,7.99,,,6.43,,50,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1060A,BOLT,,87,,,70.04,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1065A,BOLT,,89,,,71.65,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1070A,BOLT,,85,,,68.43,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1075A,BOLT,,88,,,70.85,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-10853,BOLT,,10.89,,,8.77,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1085A,BOLT,,88,,,70.85,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1095A,BOLTENG RR MTG BRKT BUSH,,65,,,52.33,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-12253,BOLT,,18.23,,,14.68,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1240A,BOLTENG MTG BRKT RR TO T/M,,85,,,68.43,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1245A,BOLT,,86,,,69.24,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1255A,BOLTENG MTG BRKT RR TO T/M,,86,,,69.24,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1265A,BOLT,,125,,,100.64,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1265B,BOLT,,106,,,85.34,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1290C,BOLT TRQ ROD & TRQ ROD BRKT,,145,,,116.74,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M06103,BOLTUNIT BRACKET,,2,,,1.61,,100,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M0610A,BOLTCOND(SX4 MINOR 2009),,3,,,2.42,,100,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M0612A,BOLT FRT HOOD HINGE,,5,,,4.03,,100,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0612C,BOLT CATALYST COVER,,5,,,4.03,,50,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M0616A,BOLT,,6.5,,,5.23,,200,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M06203,BOLT,,3.5,,,2.82,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M06203A,BOLT,,1.79,,,1.44,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0620A,BOLT,,7,,,5.64,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0620C,BOLTMAP SENSOR,,6,,,4.83,,50,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M06253,BOLT,,1.38,,,1.11,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0625A,BOLT,,3,,,2.42,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0630A,BOLT,,4,,,3.22,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0635A,BOLT,,4,,,3.22,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M0640A,BOLT,,4,,,3.22,,20,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M0645A,BOLTDISTRIBUTOR,,5,,,4.03,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0650A,BOLT,,5,,,4.03,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0655A,BOLTM6,,6,,,4.83,,25,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0660A,BOLT,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M06653,BOLTCYL HEAD COVER,,2.5,,,2.01,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0665A,BOLT,,5,,,4.03,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0695A,BOLTOIL PAN NO.2,,17,,,13.69,,10,,MGP,MARUTI,,,,,,,,,,,,73181900,,,
01550M08123,BOLT,,1.5,,,1.21,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0812A,BOLT,,4,,,3.22,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M08163,BOLT,,3.5,,,2.82,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0816A,BOLT,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550M0820A,BOLT T/M HOOK,,5,,,4.03,,20,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550M08253,BOLT,,1.5,,,1.21,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
