Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
11064096151,HEX BOLT M12X80 TS17100-10.9-SS8451-8CH,, 20.00 ,18%,, 15.59 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11064096194,HEX BOLT M10X70 TS17100 10.9 SS9400,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11064114613,H/BOLT M14X1.5X65 TS17100-10.9SS8451-8CH,, 32.00 ,18%,, 24.95 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11064114621,H/BOLT M14X1.5X70 TS17100-10.9SS8451-8CH,, 28.00 ,18%,, 21.83 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11064196059,HEXBOLTM14X1.5X70 TS17100-10.9SS8451-8CH,, 17.00 ,18%,, 13.25 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11064196105,HEXBOLT M10X1X40 TS17100-10.9-SS8451-8CH,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11064210558,HEX BOLT M10X55 TS17100 12.9 SS9400,, 19.00 ,18%,, 14.81 ,,EA,,TELCO,TATA,,,,,,,,,,,,73181500,,,
11066810617,HEX BOLT M10X65 TS17100-8.8 SS8451S2-Y,, 21.00 ,18%,, 16.37 ,,EA,,TELCO,TATA,,,,,,,,,,,,73181500,,,
11066810625,HEX BOLT M10X70 TS17100-8.8-SS8451S2-Y,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11066810676,HEX BOLT M10X110 TS17100-8.8-SS8451S2-Y,, 34.00 ,18%,, 26.51 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11066810706,HEX BOLT M10X130 TS17100-8.8-SS8451S2-Y,, 25.00 ,18%,, 19.49 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11066914668,HEXBOLT M14X1.5X100 TS17100 8.8SS8451S2-,, 38.00 ,18%,, 29.63 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11066996010,H/BOLT M10X1.25X65 TS17100 8.8SS8451S2-Y,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11067008326,HEX BOLT M8X32 TS17100 10.9 SS8451S2-YH,, 11.00 ,18%,, 8.58 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11067296071,H/BOLT M8X40 TS17100 10.9 SS8457S1-BL-B,, 19.00 ,18%,, 14.81 ,,EA,,TELCO,TATA,All,,,,,,,,,,,87089900,,,
11071506209,HEX FL BOLT M6X20 TS17130-8.8-SS8451S2-Y,, 5.00 ,18%,, 3.90 ,,EA,,TELCO,TATA,All,,,,,,,,,,,87089900,,,
11071506225,HEX FL BOLT M6X22 TS17130-8.8-SS8451-8C,, 11.00 ,18%,, 8.58 ,,EA,,TELCO,TATA,All BS6 Models,,,,,,,,,,,87089900,,,
11071506250,HEX FL BOLT M6X25 TS17130-8.8-SS8451S2-Y,, 22.00 ,18%,, 17.15 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071506306,HEX FL BOLT M6X30 TS17130-8.8-SS8451-8C,, 8.00 ,18%,, 6.24 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071506357,HEX FL BOLT M6X35 TS17130-8.8-SS8451S2-Y,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071506501,HEX FL BOLT M6X50 TS17130 8.8 SS8451-8C,, 6.00 ,18%,, 4.68 ,,EA,,TELCO,TATA,,,,,,,,,,,,73181500,,,
11071506551,HEX FL BOLT M6X55 TS17130 8.8 SS8451S2-Y,, 9.00 ,18%,, 7.02 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071508228,HEX FL BOLT M8X22 TS17130-8.8-SS8451S2-Y,, 5.00 ,18%,, 3.90 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071508252,HEX FL BOLT M8X25 TS17130-8.8-SS8451S2-Y,, 6.00 ,18%,, 4.68 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071508287,HEX BOLT M8X28 TS17130-8.8-SS8451-8C,, 6.00 ,18%,, 4.68 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071508350,HEX FL BOLT M8X35 TS17130 8.8 SS8451-8C,, 8.00 ,18%,, 6.24 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071508384,HEX FL BOLT M8X38 TS17130,, 8.00 ,18%,, 6.24 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
