Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock
A5P47600,GEARBOXS6368.97RFS T150,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P47800,ASSY OF ZF S636 2B 6.93FGR 0.728OD RAT,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P48400,GEARBOX-ALGB940-9.01R-FS T150,,293230,16,,246313.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5P48800,GEARBOX-ALGB940-9.01R-FS T150,,293230,16,,246313.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5P49400,GEARBOX-ALGB940-9.01R-FS T150,,293230,16,,246313.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5P49500,GEARBOX-9S1110-12.73R-FS T180-CAB CSO,,249750,16,,209790,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P50200,GEAR BOX ASSEMBLY ASSY OF ZF S536 6.5 F,,153550,16,,128982,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P50500,GEARBOX-S6-36-6.93R-OD-FS T120,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5P50700,GEARBOXS6368.97RFS T150,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P51000,GEARBOX6S8508.51RFS T150,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P51600,GEARBOX-6S850-8.51R,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P52000,GEARBOX-9S1110-12.73R-FS T180-CAB CSO,,384800,16,,323232,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5P52600,GEARBOX-S5-36-5.96R-OD,,148000,16,,124320,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P53200,GEAR BOX ASSEMBLY ASSY OF ZF S636 8.97,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P53600,GEARBOX-8S1110-8.83R-FS T180-CAB CSO,,249750,16,,209790,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5P53700,GEARBOX-8S1110-8.83R-FS T180-CAB CSO,,249750,16,,209790,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5P54100,GEARBOX-6S850-8.51R,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P54200,GEARBOX-9S1310-9.48R-OD-FS T180,,564250,16,,473970,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P55200,GEARBOX-S5-36-6.5R-FS T120,,153550,16,,128982,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P56000,ASSY OF ZF MKII S5362 8.08 FGR GB HSER,,153550,16,,128982,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P56200,GEARBOX-S6-36-6.93R-OD-FS T150,,134130,16,,112669.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P56700,GEARBOX-6S850-8.51R,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P56900,GEARBOX-6S850-6.72R-OD,,141830,16,,119137.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P57400,GEARBOX-6S850-6.72R-OD,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P57700,ASSY OF ZF S6361.5 8.97 FGR 17MM IPS,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P58800,ZF 6S OD Gearbox 8.28 FGR 150 Dia Ser,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P59500,GEARBOX-6S850-6.72R-OD,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P59800,GEARBOX-S6-36-6.93R-OD-FS T120,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P60100,GEARBOX-S6-36-6.93R-OD-FS T120,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P62300,ASSY OF ZF6S850 OD 672 FGR GB 17MM PI,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
